"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"38","Cascade Charter Township Precinct 2",1661,1245,0.74,527,697,17,500,704,20,460,714,41,517,706,11,452,747,20,448,760,10,456,704,29,840,1280,101,758,1285,95,800,1247,96,714,1234,91,400,722,0,38
"39","Cascade Charter Township Precinct 3",1105,849,0.76,376,447,20,365,456,14,340,459,25,358,479,6,323,499,9,330,486,17,331,463,22,601,842,83,563,832,74,592,818,65,531,802,67,295,481,0,39
"40","Cascade Charter Township Precinct 5",2259,1714,0.75,664,1012,19,624,1023,34,569,1039,59,636,1053,11,574,1080,19,589,1062,21,585,1011,49,1036,1836,160,943,1832,132,1005,1806,136,927,1775,123,515,1048,0,40
"41","Cascade Charter Township Precinct 7",1187,792,0.66,340,423,23,329,434,17,304,440,23,341,425,13,311,442,14,310,438,19,306,419,21,530,753,77,514,736,66,516,739,70,483,737,53,283,421,0,41
"42","Cascade Charter Township Precinct 8",1292,1035,0.8,504,502,22,488,509,19,458,516,34,494,516,17,449,545,16,467,533,11,455,516,24,837,906,121,761,901,115,809,864,111,739,855,94,414,522,0,42
"43","Cascade Charter Township Precinct 9",1392,1098,0.78,489,578,20,465,585,29,408,625,36,464,605,16,413,626,22,433,611,24,429,602,22,751,1072,105,673,1050,104,718,1040,81,657,1018,86,373,615,0,43
"44","Cascade Charter Township Precinct 10",1318,974,0.73,378,561,27,361,564,27,320,587,38,356,597,10,329,608,11,334,589,20,330,581,19,590,1024,97,549,1010,86,568,997,91,516,987,76,303,567,0,44
"45","Cedar Springs Precinct 1",2310,1087,0.47,417,599,55,416,582,56,349,606,86,401,626,36,358,656,34,371,621,33,380,632,0,632,972,209,597,961,162,611,940,160,577,935,136,0,772,0,45
"46","Courtland Township Precinct 1",2011,1433,0.71,545,840,38,535,830,33,482,855,50,555,846,13,476,898,20,513,853,20,477,891,0,867,1403,184,788,1395,158,812,1374,148,761,1358,130,0,1020,0,46
"47","Courtland Township Precinct 2",2201,1518,0.68,500,952,45,453,975,47,410,959,83,486,967,33,420,1012,35,444,969,36,422,1011,0,751,1597,211,695,1567,167,719,1562,165,659,1533,146,0,1104,0,47
"48","Courtland Township Precinct 3",2268,1427,0.62,487,888,40,473,883,38,402,920,60,478,906,21,412,943,29,440,903,29,419,932,0,766,1532,172,692,1501,156,710,1495,146,658,1483,133,0,1008,0,48
"49","East Grand Rapids Ward 1 Precinct 1",1509,1137,0.75,692,415,15,678,428,17,639,451,24,676,443,5,651,455,9,650,460,7,636,474,0,1196,771,64,1108,772,67,1149,741,62,1074,744,54,623,450,0,49
"50","East Grand Rapids Ward 1 Precinct 2",1476,1134,0.76,629,476,19,614,492,15,568,507,32,615,508,6,598,498,17,590,494,16,591,515,0,1082,870,96,1017,868,92,1050,827,95,968,820,81,630,464,0,50
"51","East Grand Rapids Ward 2 Precinct 3",1514,1116,0.73,689,404,12,653,429,9,604,441,33,657,446,4,630,459,7,625,452,6,609,477,0,1119,767,85,1036,752,79,1078,738,67,1018,716,42,634,427,0,51
"52","East Grand Rapids Ward 2 Precinct 4",1391,1052,0.75,664,363,15,623,385,24,594,388,39,643,389,9,601,418,11,626,387,14,610,413,0,1064,651,129,1016,654,106,1063,624,100,1013,614,75,644,354,0,52
"53","East Grand Rapids Ward 3 Precinct 5",1476,1091,0.73,705,364,19,678,370,20,638,385,38,685,394,9,660,421,3,671,398,4,639,427,0,1162,693,77,1094,680,78,1119,656,72,1039,654,57,649,405,0,53
"54","East Grand Rapids Ward 3 Precinct 6",1506,1125,0.74,759,341,17,734,344,15,685,377,29,726,381,8,696,401,7,713,375,7,691,398,0,1262,634,88,1158,640,78,1221,603,60,1130,596,54,714,368,0,54
"55","Gaines Charter Township Precinct 1",2081,1502,0.72,386,1077,35,350,1082,41,327,1079,50,367,1106,20,313,1122,27,323,1091,26,314,1101,28,551,1948,161,509,1880,135,534,1870,132,486,1856,108,0,1167,0,55
"56","Gaines Charter Township Precinct 2",1630,1069,0.65,441,602,23,417,608,25,382,628,38,408,641,14,374,659,15,380,618,27,378,609,25,678,1101,97,641,1072,79,659,1067,76,608,1067,54,0,760,0,56
"57","Gaines Charter Township Precinct 3",2172,1272,0.58,428,793,39,409,794,45,374,807,58,387,841,31,371,843,28,384,809,40,377,809,34,617,1405,180,619,1382,128,623,1369,135,607,1338,112,0,933,0,57
"58","Gaines Charter Township Precinct 4",2879,1178,0.4,579,513,75,566,524,62,522,531,88,573,534,53,539,555,48,544,530,57,544,526,58,899,862,225,908,859,161,925,836,167,883,842,152,0,757,0,58
"59","Gaines Charter Township Precinct 5",1905,937,0.49,556,347,29,537,358,26,486,377,48,530,376,23,508,386,21,503,361,32,506,360,26,861,605,155,837,595,118,843,573,122,810,586,94,0,530,0,59
"60","Gaines Charter Township Precinct 6",1965,1385,0.7,440,911,24,402,937,24,363,951,49,408,953,12,357,972,28,379,933,31,379,924,42,695,1618,156,638,1600,131,665,1590,112,611,1554,120,0,1074,0,60
"61","Gaines Charter Township Precinct 7",2566,1811,0.7,604,1151,40,588,1151,40,496,1194,73,599,1174,20,485,1252,31,538,1172,42,527,1174,40,938,2091,186,890,2065,159,906,2050,151,847,2048,132,0,1363,0,61
"62","Gaines Charter Township Precinct 8",2266,1430,0.63,514,863,37,493,863,43,446,876,60,510,874,26,445,903,37,459,863,41,461,848,46,792,1476,184,748,1464,144,757,1458,147,713,1457,133,0,1053,0,62
"63","Gaines Charter Township Precinct 9",1764,1133,0.64,574,536,18,563,532,14,521,551,35,551,562,10,505,583,17,521,551,15,532,534,18,920,965,97,872,964,87,887,932,79,841,940,80,0,739,0,63
"64","Grand Rapids Ward 1 Precinct 1",2432,1089,0.44,744,280,49,729,268,59,670,274,93,718,295,49,684,321,33,702,270,59,733,243,46,1127,449,215,1061,441,184,1068,437,174,1050,423,138,701,256,0,64
"65","Grand Rapids Ward 1 Precinct 2",1324,516,0.38,388,89,34,372,104,27,346,100,51,364,118,25,354,132,10,359,106,28,373,94,22,585,168,107,564,167,95,566,157,93,554,166,79,367,96,0,65
"66","Grand Rapids Ward 1 Precinct 3",1992,1336,0.67,899,396,29,871,419,22,825,431,50,864,445,16,806,492,16,878,411,27,865,428,0,1426,714,165,1359,692,139,1406,655,123,1326,694,101,830,391,0,66
"67","Grand Rapids Ward 1 Precinct 4",1786,1157,0.64,871,242,30,862,240,36,829,249,49,846,267,32,813,319,8,866,236,28,889,199,30,1400,420,142,1325,428,115,1351,407,102,1290,412,90,834,228,0,67
"68","Grand Rapids Ward 1 Precinct 5",1312,691,0.52,471,171,34,466,167,31,413,177,54,451,188,31,437,210,14,455,169,35,450,161,28,714,282,142,669,284,109,698,267,94,685,270,73,454,159,0,68
"69","Grand Rapids Ward 1 Precinct 6",2149,1457,0.67,782,625,32,766,615,30,673,658,64,764,647,25,690,699,22,759,629,26,734,653,0,1220,1065,196,1151,1052,156,1184,1011,160,1122,1058,132,776,534,0,69
"70","Grand Rapids Ward 1 Precinct 7",937,622,0.66,312,278,25,298,278,29,278,292,22,300,294,13,275,307,17,302,286,13,288,295,0,468,468,83,463,466,59,473,453,62,441,467,55,275,275,0,70
"71","Grand Rapids Ward 1 Precinct 8",1265,920,0.72,549,313,52,549,320,38,513,328,54,553,330,25,487,395,16,542,328,28,564,288,28,895,543,139,843,518,134,865,505,126,818,525,103,570,270,0,71
