TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Mary Treder Lang (REP),Jocelyn Benson (DEM),Gregory Scott Stempfle (LIB),Robert Gale (UST),Write In
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,445,839,29,11,0
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,428,643,26,10,3
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,512,676,30,11,2
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,682,749,25,7,1
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,467,716,31,16,1
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,453,768,22,7,1
Grand Rapids Ward 2 Precinct 48,1482,840,56%,158,635,21,12,1
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,198,860,39,5,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,206,1162,32,6,1
Grand Rapids Ward 3 Precinct 51,1724,885,51%,246,588,19,20,0
Grand Rapids Ward 3 Precinct 52,915,521,56%,51,429,20,7,0
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,840,819,33,6,0
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,467,524,11,3,0
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,554,836,20,5,2
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,496,737,26,5,0
Grand Rapids Ward 3 Precinct 57,1234,805,65%,255,524,5,4,0
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,450,644,17,3,0
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,485,1050,29,6,1
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,154,1124,27,5,0
Grand Rapids Ward 3 Precinct 61,899,571,63%,111,428,15,0,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,118,675,26,10,0
Grand Rapids Ward 3 Precinct 63,1860,891,47%,94,747,14,13,1
Grand Rapids Ward 3 Precinct 64,1984,885,44%,176,652,25,10,1
Grand Rapids Ward 3 Precinct 65,2000,965,48%,258,659,22,7,0
Grand Rapids Ward 3 Precinct 66,2363,819,34%,52,723,16,8,2
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,61,933,14,8,1
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,235,868,13,4,0
Grand Rapids Ward 3 Precinct 69,1359,983,72%,472,475,14,2,0
Grand Rapids Ward 3 Precinct 70,1791,660,36%,28,598,12,8,2
Grand Rapids Ward 3 Precinct 71,1695,957,56%,162,751,18,6,2
Grand Rapids Ward 3 Precinct 72,871,603,69%,156,422,10,3,0
Grand Rapids Ward 3 Precinct 73,1165,766,65%,248,483,15,2,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,203,549,26,5,2
Grand Rapids Ward 3 Precinct 75,1209,602,49%,84,483,18,6,1
Grand Rapids Ward 3 Precinct 76,1577,653,41%,36,585,10,5,1
Grand Rapids Ward 3 Precinct 77,1291,916,70%,281,602,13,3,2
Grand Rapids Charter Township Precinct 1,1513,1075,71%,624,414,19,1,1
Grand Rapids Charter Township Precinct 2,1016,738,72%,384,324,13,0,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,674,645,19,2,0
Grand Rapids Charter Township Precinct 4,1733,1263,72%,611,602,20,2,1
Grand Rapids Charter Township Precinct 5,1863,1364,73%,623,693,19,3,2
Grand Rapids Charter Township Precinct 6,1720,1276,74%,626,574,35,12,1
Grand Rapids Charter Township Precinct 7,1043,669,64%,330,306,14,8,0
Grand Rapids Charter Township Precinct 8,1783,1300,72%,675,589,12,5,0
Grand Rapids Charter Township Precinct 9,1156,892,77%,523,328,17,2,1
Grandville Precinct 1,1577,1029,65%,539,422,27,13,3
Grandville Precinct 2,2014,1232,61%,650,513,29,6,1
Grandville Precinct 3,2197,1391,63%,791,514,33,13,0
Grandville Precinct 4,1979,1483,74%,853,562,35,8,1
Grandville Precinct 5,2147,1489,69%,867,553,20,12,3
Grandville Precinct 6,1655,1182,71%,702,429,21,7,2
Grattan Township Precinct 1,1502,993,66%,630,310,21,10,1
Grattan Township Precinct 2,1598,1133,70%,614,471,13,10,0
Kentwood Ward 1 Precinct 1,2072,1009,48%,435,521,18,13,1
Kentwood Ward 1 Precinct 2,2787,1711,61%,697,908,50,16,5
Kentwood Ward 1 Precinct 3,1524,971,63%,440,487,14,10,0
Kentwood Ward 1 Precinct 4,1385,654,47%,223,376,24,11,0
Kentwood Ward 1 Precinct 5,1192,647,54%,287,317,22,8,1
Kentwood Ward 1 Precinct 6,2226,1085,48%,456,556,27,19,1
Kentwood Ward 1 Precinct 7,1944,1075,55%,363,658,20,20,0
Kentwood Ward 1 Precinct 8,2348,1578,67%,733,785,26,8,1
Kentwood Ward 1 Precinct 9,2145,1149,53%,411,683,27,10,2
Kentwood Ward 2 Precinct 10,2150,1401,65%,586,754,25,4,0
Kentwood Ward 2 Precinct 11,2803,1759,62%,728,954,24,10,0
Kentwood Ward 2 Precinct 12,1551,929,59%,324,559,23,7,0
Kentwood Ward 2 Precinct 13,2030,1207,59%,544,618,10,7,1
Kentwood Ward 2 Precinct 14,787,514,65%,221,268,8,5,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,312,861,25,9,4
Kentwood Ward 2 Precinct 16,2612,1825,69%,840,921,24,11,1
Kentwood Ward 2 Precinct 17,1674,765,45%,237,500,12,3,0
Kentwood Ward 2 Precinct 18,2017,1003,49%,290,639,37,7,3
Lowell Precinct 1,1606,965,60%,439,472,28,11,3
Lowell Precinct 2,1377,738,53%,360,327,24,10,2
Lowell Charter Township Precinct 1,2438,1661,68%,974,587,34,19,1
Lowell Charter Township Precinct 2,2269,1350,59%,692,557,46,19,3
Nelson Township Precinct 1,2306,1112,48%,635,394,32,22,1
Nelson Township Precinct 2,1580,968,61%,596,316,15,8,2
Oakfield Township Precinct 1,1557,983,63%,551,385,21,8,2
Oakfield Township Precinct 2,1812,1080,59%,655,368,14,21,0
Oakfield Township Precinct 3 ,1321,783,59%,430,298,14,12,1
Plainfield Charter Township Precinct 1,2614,1944,74%,1052,776,45,16,0
Plainfield Charter Township Precinct 2,2249,1437,63%,773,577,32,14,4
Plainfield Charter Township Precinct 3,2112,1215,57%,545,581,41,13,1
Plainfield Charter Township Precinct 4,2300,1467,63%,699,683,30,13,1
Plainfield Charter Township Precinct 5,2123,1393,65%,641,659,46,15,2
Plainfield Charter Township Precinct 6,3012,2043,67%,1172,773,34,18,4
Plainfield Charter Township Precinct 7,2717,1948,71%,1091,799,23,5,1
Plainfield Charter Township Precinct 8,2819,1909,67%,897,890,48,28,1
Plainfield Charter Township Precinct 9,2445,1611,65%,863,676,29,19,1
Plainfield Charter Township Precinct 10,1777,1345,75%,735,539,30,11,0
Plainfield Charter Township Precinct 11,1706,1286,75%,708,510,36,11,3
Rockford Precinct 1,1866,1204,64%,560,566,27,8,3
Rockford Precinct 2,2510,1730,68%,813,798,53,12,0
Solon Township Precinct 1,1814,1095,60%,645,382,28,14,0
Solon Township Precinct 2,2765,1630,58%,994,523,49,30,0
Sparta Township Precinct 1,2898,1650,56%,824,662,66,36,3
Sparta Township Precinct 2,1516,912,60%,569,292,15,12,1
Sparta Township Precinct 3,1969,1135,57%,661,378,28,21,2
Spencer Township Precinct 1,2952,1803,61%,1105,583,29,37,6
Tyrone Township Precinct 1,1760,1063,60%,665,323,29,22,1
Tyrone Township Precinct 2,1401,819,58%,512,260,14,8,2
Vergennes Township Precinct 1,1870,1365,72%,849,439,28,11,0
Vergennes Township Precinct 2,1653,1167,70%,689,419,20,8,2
Walker Ward 1 Precinct 1,2037,997,48%,349,571,34,19,4
Walker Ward 1 Precinct 2,1733,1176,67%,582,532,24,9,0
Walker Ward 1 Precinct 3,1996,1316,65%,580,642,42,20,5
Walker Ward 2 Precinct 4,2243,1567,69%,870,616,24,16,1
Walker Ward 2 Precinct 5,1904,1341,70%,722,534,27,17,0
Walker Ward 2 Precinct 6,1880,1193,63%,605,496,35,21,1
Walker Ward 3 Precinct 7,1966,1352,68%,651,605,40,8,3
Walker Ward 3 Precinct 8,1759,1268,72%,766,433,25,12,1
Walker Ward 3 Precinct 9,1981,1274,64%,626,583,31,11,0
Wyoming Ward 1 Precinct 1,1870,915,48%,353,503,27,16,2
Wyoming Ward 1 Precinct 2,1311,535,40%,186,302,13,15,3
Wyoming Ward 1 Precinct 3,2130,940,44%,315,555,27,16,0
Wyoming Ward 1 Precinct 4,2019,1071,53%,461,544,25,9,4
Wyoming Ward 1 Precinct 5,2086,1037,49%,377,588,27,20,1
Wyoming Ward 1 Precinct 6,1502,729,48%,254,422,19,14,2
Wyoming Ward 1 Precinct 7,1890,1143,60%,617,475,20,12,0
Wyoming Ward 1 Precinct 8,1230,576,46%,248,276,21,14,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,348,590,38,22,2
Wyoming Ward 2 Precinct 10,1478,665,44%,226,402,17,9,0
Wyoming Ward 2 Precinct 11,1351,568,42%,152,373,22,7,3
Wyoming Ward 2 Precinct 12,1280,508,39%,172,301,14,6,2
Wyoming Ward 2 Precinct 13,1666,873,52%,366,447,26,15,0
Wyoming Ward 2 Precinct 14,1166,666,57%,330,293,19,10,0
Wyoming Ward 2 Precinct 15,968,530,54%,220,272,13,11,0
Wyoming Ward 2 Precinct 16,1352,771,57%,362,353,25,6,4
Wyoming Ward 2 Precinct 17,1923,793,41%,250,485,24,10,1
Wyoming Ward 2 Precinct 18,1211,667,55%,275,340,23,7,0
Wyoming Ward 2 Precinct 19,1853,1047,56%,426,553,26,20,2
Wyoming Ward 2 Precinct 20,1939,1002,51%,379,544,41,17,2
Wyoming Ward 3 Precinct 21,2306,1266,54%,578,602,31,8,3
Wyoming Ward 3 Precinct 22,1327,781,58%,357,383,13,10,0
Wyoming Ward 3 Precinct 23,2223,1060,47%,401,582,33,20,3
Wyoming Ward 3 Precinct 24,2330,1202,51%,531,586,42,12,2
Wyoming Ward 3 Precinct 25,1673,1175,70%,675,444,25,5,0
Wyoming Ward 3 Precinct 26,1254,791,63%,388,364,16,5,3
Wyoming Ward 3 Precinct 27,1233,767,62%,399,336,17,2,0
Wyoming Ward 3 Precinct 28,1984,1344,67%,760,521,20,13,1
Wyoming Ward 3 Precinct 29,1566,1104,70%,628,434,16,10,1
Wyoming Ward 3 Precinct 30,1989,1405,70%,864,487,19,4,1
