TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"AndreaFischer
          Newman  (REP)
        ","Andrew
          Richner (REP)
        ","Jordan
          Acker (DEM)
        ","Paul
          Brown (DEM)
        ","JamesLewis
          Hudler (LIB)
        ","John
          Jascob (LIB)
        ","Joe
          Sanger (UST)
        ","CrystalVan
          Sickle (UST)
        ","KevinA.
          Graves (GRN)
        ","MargeKatchmark
          Sallows (NLP)
        ",WriteIn
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,36,29,461,444,10,11,3,14,14,7,2
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,258,231,484,472,16,21,6,18,10,4,1
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,596,536,314,300,26,22,8,6,20,9,2
Grand Rapids Charter Township  Precinct 2,1016,738,72%,335,313,262,248,18,17,1,8,9,8,2
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,648,598,514,501,27,22,10,21,15,12,4
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,575,514,484,466,27,23,9,13,25,21,10
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,601,552,515,477,28,27,13,20,28,13,6
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,562,523,468,434,27,29,13,27,21,21,8
Grand Rapids Charter Township  Precinct 7,1043,669,64%,277,270,226,207,11,7,10,14,14,11,5
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,607,556,455,436,22,19,11,24,24,20,9
Grand Rapids Charter Township  Precinct 9,1156,892,77%,485,459,246,245,22,21,10,15,6,5,2
Grandville  Precinct 1,1577,1029,65%,470,421,326,309,31,26,17,23,16,13,11
Grandville  Precinct 2,2014,1232,61%,568,508,412,378,36,36,12,25,19,12,9
Grandville  Precinct 3,2197,1391,63%,699,652,402,363,38,35,16,33,16,14,11
Grandville  Precinct 4,1979,1483,74%,765,709,443,415,29,34,21,36,18,15,8
Grandville  Precinct 5,2147,1489,69%,810,752,424,411,14,19,21,35,10,10,8
Grandville  Precinct 6,1655,1182,71%,631,593,329,302,22,23,23,28,13,14,5
Grattan Township  Precinct 1,1502,993,66%,536,522,224,224,24,23,14,28,14,14,1
Grattan Township  Precinct 2,1598,1133,70%,521,507,350,336,25,23,14,27,26,20,4
Kentwood  Ward 1  Precinct 1,2072,1009,48%,383,368,400,380,17,22,18,15,8,9,7
Kentwood  Ward 1  Precinct 2,2787,1711,61%,638,595,725,696,39,45,23,43,39,21,12
Kentwood  Ward 1  Precinct 3,1524,971,63%,381,358,411,367,17,16,13,22,12,11,2
Kentwood  Ward 1  Precinct 4,1385,654,47%,194,178,294,269,17,16,12,21,16,11,1
Kentwood  Ward 1  Precinct 5,1192,647,54%,251,233,240,223,14,13,7,19,12,16,3
Kentwood  Ward 1  Precinct 6,2226,1085,48%,414,379,426,403,19,22,21,35,20,13,4
Kentwood  Ward 1  Precinct 7,1944,1075,55%,335,296,526,513,29,26,9,22,25,15,4
Kentwood  Ward 1  Precinct 8,2348,1578,67%,672,618,655,606,27,28,19,27,28,15,4
Kentwood  Ward 1  Precinct 9,2145,1149,53%,373,323,563,540,26,19,15,23,18,14,3
Kentwood  Ward 2  Precinct 10,2150,1401,65%,537,484,607,556,29,32,18,28,19,16,2
Kentwood  Ward 2  Precinct 11,2803,1759,62%,659,624,779,734,33,32,21,37,22,15,9
Kentwood  Ward 2  Precinct 12,1551,929,59%,286,270,468,455,27,22,11,17,9,12,2
Kentwood  Ward 2  Precinct 13,2030,1207,59%,530,500,498,442,11,9,4,19,18,10,6
Kentwood  Ward 2  Precinct 14,787,514,65%,203,185,194,177,13,14,9,13,12,2,3
Kentwood  Ward 2  Precinct 15,2618,1231,47%,298,255,708,679,20,16,13,33,28,15,15
Kentwood  Ward 2  Precinct 16,2612,1825,69%,791,718,725,708,33,30,18,27,30,17,4
Kentwood  Ward 2  Precinct 17,1674,765,45%,200,180,393,389,11,15,5,16,8,11,1
Kentwood  Ward 2  Precinct 18,2017,1003,49%,279,239,501,459,25,25,16,25,23,17,5
Lowell  Precinct 1,1606,965,60%,366,349,370,332,31,31,15,26,26,21,10
Lowell  Precinct 2,1377,738,53%,320,301,230,213,20,19,10,20,16,18,2
Lowell Charter Township  Precinct 1,2438,1661,68%,819,779,471,448,40,34,26,41,28,18,5
Lowell Charter Township  Precinct 2,2269,1350,59%,592,542,448,407,47,49,22,44,31,15,7
Nelson Township  Precinct 1,2306,1112,48%,553,512,290,261,15,17,30,32,25,14,10
Nelson Township  Precinct 2,1580,968,61%,516,492,224,206,18,21,19,27,12,9,2
Oakfield Township  Precinct 1,1557,983,63%,463,430,294,273,33,27,13,24,14,13,11
Oakfield Township  Precinct 2,1812,1080,59%,554,505,302,276,13,17,31,44,17,19,6
Oakfield Township  Precinct 3 ,1321,783,59%,391,364,232,211,15,17,13,24,11,13,4
Plainfield Charter Township  Precinct 1,2614,1944,74%,943,903,569,559,54,41,25,40,32,21,7
Plainfield Charter Township  Precinct 2,2249,1437,63%,650,637,428,417,39,35,13,39,24,19,10
Plainfield Charter Township  Precinct 3,2112,1215,57%,464,430,457,411,41,44,21,46,35,27,7
Plainfield Charter Township  Precinct 4,2300,1467,63%,623,561,513,485,44,45,15,26,29,26,2
Plainfield Charter Township  Precinct 5,2123,1393,65%,563,517,510,498,44,45,26,30,26,13,14
Plainfield Charter Township  Precinct 6,3012,2043,67%,1020,963,584,557,48,59,42,44,36,26,6
Plainfield Charter Township  Precinct 7,2717,1948,71%,1036,977,609,588,42,27,12,26,21,12,8
Plainfield Charter Township  Precinct 8,2819,1909,67%,809,739,690,675,43,45,29,52,37,33,9
Plainfield Charter Township  Precinct 9,2445,1611,65%,739,726,533,487,40,28,30,40,23,25,6
Plainfield Charter Township  Precinct 10,1777,1345,75%,655,619,395,369,33,25,14,36,25,18,3
Plainfield Charter Township  Precinct 11,1706,1286,75%,610,594,405,394,42,45,17,31,25,13,5
Rockford  Precinct 1,1866,1204,64%,496,450,442,428,23,24,20,22,21,12,5
Rockford  Precinct 2,2510,1730,68%,720,669,607,559,45,43,15,30,23,32,10
Solon Township  Precinct 1,1814,1095,60%,579,526,281,263,24,27,15,27,13,6,2
Solon Township  Precinct 2,2765,1630,58%,835,798,389,364,50,49,28,60,31,22,8
Sparta Township  Precinct 1,2898,1650,56%,691,618,500,491,52,55,40,63,38,34,15
Sparta Township  Precinct 2,1516,912,60%,487,443,209,212,18,22,14,32,17,19,2
Sparta Township  Precinct 3,1969,1135,57%,558,522,286,265,27,27,22,40,16,19,10
Spencer Township  Precinct 1,2952,1803,61%,922,889,445,410,34,34,27,57,31,31,14
Tyrone Township  Precinct 1,1760,1063,60%,558,526,248,243,17,22,18,40,22,23,6
Tyrone Township  Precinct 2,1401,819,58%,443,406,194,193,11,9,14,30,8,12,6
Vergennes Township  Precinct 1,1870,1365,72%,723,704,341,315,35,36,15,34,21,15,3
Vergennes Township  Precinct 2,1653,1167,70%,596,551,321,307,26,28,11,27,18,19,11
Walker  Ward 1  Precinct 1,2037,997,48%,303,286,470,432,35,27,16,31,29,23,13
Walker  Ward 1  Precinct 2,1733,1176,67%,527,490,414,390,19,24,18,26,17,20,1
