TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,787,131
Grand Rapids  Ward 3  Precinct 72,871,603,69%,464,110
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,572,163
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,612,153
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,509,73
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,564,57
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,701,185
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,628,400
Grand Rapids Charter Township  Precinct 2,1016,738,72%,463,247
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,842,462
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,833,376
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,886,428
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,794,442
Grand Rapids Charter Township  Precinct 7,1043,669,64%,422,220
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,816,430
Grand Rapids Charter Township  Precinct 9,1156,892,77%,518,341
Grandville  Precinct 1,1577,1029,65%,640,360
Grandville  Precinct 2,2014,1232,61%,744,433
Grandville  Precinct 3,2197,1391,63%,798,534
Grandville  Precinct 4,1979,1483,74%,834,598
Grandville  Precinct 5,2147,1489,69%,833,609
Grandville  Precinct 6,1655,1182,71%,628,505
Grattan Township  Precinct 1,1502,993,66%,577,397
Grattan Township  Precinct 2,1598,1133,70%,642,442
Kentwood  Ward 1  Precinct 1,2072,1009,48%,657,293
Kentwood  Ward 1  Precinct 2,2787,1711,61%,1141,502
Kentwood  Ward 1  Precinct 3,1524,971,63%,610,328
Kentwood  Ward 1  Precinct 4,1385,654,47%,441,180
Kentwood  Ward 1  Precinct 5,1192,647,54%,432,194
Kentwood  Ward 1  Precinct 6,2226,1085,48%,728,323
Kentwood  Ward 1  Precinct 7,1944,1075,55%,756,273
Kentwood  Ward 1  Precinct 8,2348,1578,67%,1039,483
Kentwood  Ward 1  Precinct 9,2145,1149,53%,766,308
Kentwood  Ward 2  Precinct 10,2150,1401,65%,933,401
Kentwood  Ward 2  Precinct 11,2803,1759,62%,1196,499
Kentwood  Ward 2  Precinct 12,1551,929,59%,652,236
Kentwood  Ward 2  Precinct 13,2030,1207,59%,752,380
Kentwood  Ward 2  Precinct 14,787,514,65%,357,140
Kentwood  Ward 2  Precinct 15,2618,1231,47%,938,253
Kentwood  Ward 2  Precinct 16,2612,1825,69%,1184,578
Kentwood  Ward 2  Precinct 17,1674,765,45%,578,162
Kentwood  Ward 2  Precinct 18,2017,1003,49%,769,205
Lowell  Precinct 1,1606,965,60%,664,269
Lowell  Precinct 2,1377,738,53%,471,232
Lowell Charter Township  Precinct 1,2438,1661,68%,939,669
Lowell Charter Township  Precinct 2,2269,1350,59%,852,454
Nelson Township  Precinct 1,2306,1112,48%,625,445
Nelson Township  Precinct 2,1580,968,61%,541,396
Oakfield Township  Precinct 1,1557,983,63%,579,377
Oakfield Township  Precinct 2,1812,1080,59%,603,433
Oakfield Township  Precinct 3 ,1321,783,59%,448,315
Plainfield Charter Township  Precinct 1,2614,1944,74%,1147,730
Plainfield Charter Township  Precinct 2,2249,1437,63%,929,464
Plainfield Charter Township  Precinct 3,2112,1215,57%,836,340
Plainfield Charter Township  Precinct 4,2300,1467,63%,1004,414
Plainfield Charter Township  Precinct 5,2123,1393,65%,931,420
Plainfield Charter Township  Precinct 6,3012,2043,67%,1233,734
Plainfield Charter Township  Precinct 7,2717,1948,71%,1147,744
Plainfield Charter Township  Precinct 8,2819,1909,67%,1225,625
Plainfield Charter Township  Precinct 9,2445,1611,65%,1007,567
Plainfield Charter Township  Precinct 10,1777,1345,75%,822,480
Plainfield Charter Township  Precinct 11,1706,1286,75%,774,482
Rockford  Precinct 1,1866,1204,64%,772,374
Rockford  Precinct 2,2510,1730,68%,1198,473
Solon Township  Precinct 1,1814,1095,60%,587,456
Solon Township  Precinct 2,2765,1630,58%,910,650
Sparta Township  Precinct 1,2898,1650,56%,1032,544
Sparta Township  Precinct 2,1516,912,60%,491,392
Sparta Township  Precinct 3,1969,1135,57%,660,427
Spencer Township  Precinct 1,2952,1803,61%,971,765
Tyrone Township  Precinct 1,1760,1063,60%,568,463
Tyrone Township  Precinct 2,1401,819,58%,472,316
Vergennes Township  Precinct 1,1870,1365,72%,736,583
Vergennes Township  Precinct 2,1653,1167,70%,682,444
Walker  Ward 1  Precinct 1,2037,997,48%,732,241
Walker  Ward 1  Precinct 2,1733,1176,67%,693,436
Walker  Ward 1  Precinct 3,1996,1316,65%,865,394
Walker  Ward 2  Precinct 4,2243,1567,69%,914,590
Walker  Ward 2  Precinct 5,1904,1341,70%,773,503
Walker  Ward 2  Precinct 6,1880,1193,63%,731,410
Walker  Ward 3  Precinct 7,1966,1352,68%,839,453
Walker  Ward 3  Precinct 8,1759,1268,72%,656,564
Walker  Ward 3  Precinct 9,1981,1274,64%,781,447
Wyoming  Ward 1  Precinct 1,1870,915,48%,615,259
Wyoming  Ward 1  Precinct 2,1311,535,40%,368,147
Wyoming  Ward 1  Precinct 3,2130,940,44%,670,237
Wyoming  Ward 1  Precinct 4,2019,1071,53%,706,324
Wyoming  Ward 1  Precinct 5,2086,1037,49%,729,267
Wyoming  Ward 1  Precinct 6,1502,729,48%,512,192
Wyoming  Ward 1  Precinct 7,1890,1143,60%,705,395
Wyoming  Ward 1  Precinct 8,1230,576,46%,404,149
Wyoming  Ward 1  Precinct 9,2268,1029,45%,726,259
Wyoming  Ward 2  Precinct 10,1478,665,44%,465,170
Wyoming  Ward 2  Precinct 11,1351,568,42%,410,127
Wyoming  Ward 2  Precinct 12,1280,508,39%,360,113
Wyoming  Ward 2  Precinct 13,1666,873,52%,602,241
Wyoming  Ward 2  Precinct 14,1166,666,57%,431,209
Wyoming  Ward 2  Precinct 15,968,530,54%,366,150
Wyoming  Ward 2  Precinct 16,1352,771,57%,505,237
Wyoming  Ward 2  Precinct 17,1923,793,41%,593,148
Wyoming  Ward 2  Precinct 18,1211,667,55%,461,177
Wyoming  Ward 2  Precinct 19,1853,1047,56%,715,278
Wyoming  Ward 2  Precinct 20,1939,1002,51%,694,285
Wyoming  Ward 3  Precinct 21,2306,1266,54%,820,400
Wyoming  Ward 3  Precinct 22,1327,781,58%,479,257
Wyoming  Ward 3  Precinct 23,2223,1060,47%,747,269
Wyoming  Ward 3  Precinct 24,2330,1202,51%,814,337
Wyoming  Ward 3  Precinct 25,1673,1175,70%,655,478
Wyoming  Ward 3  Precinct 26,1254,791,63%,518,253
Wyoming  Ward 3  Precinct 27,1233,767,62%,491,245
Wyoming  Ward 3  Precinct 28,1984,1344,67%,830,481
Wyoming  Ward 3  Precinct 29,1566,1104,70%,673,389
Wyoming  Ward 3  Precinct 30,1989,1405,70%,825,525
