TOTALS: 249 of 249 Precincts ,RegisteredVoters,BallotsCast,Turnout,KathyS.Crosby,CarlosSanchez,SherylSiegel,TroyWilliams,WriteIn
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,394,328,332,240,10
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,590,523,374,336,17
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,586,512,368,294,7
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,283,351,239,203,4
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,462,397,371,261,13
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,714,614,381,365,11
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,593,650,320,213,10
Grand Rapids  Ward 3  Precinct 61,899,571,63%,242,237,163,71,6
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,308,344,249,254,15
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,379,409,184,264,10
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,404,308,234,180,15
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,327,416,294,248,14
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,286,333,206,232,24
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,440,428,209,296,16
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,509,547,252,166,19
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,355,384,316,178,2
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,236,237,175,177,24
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,422,391,201,193,28
Grand Rapids  Ward 3  Precinct 72,871,603,69%,235,230,152,89,5
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,246,321,250,149,13
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,294,280,243,179,11
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,271,236,136,148,8
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,255,262,168,163,18
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,317,402,271,181,12
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,358,348,330,209,14
Grand Rapids Charter Township  Precinct 2,1016,738,72%,243,168,241,176,9
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,592,401,362,299,9
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,577,391,356,229,22
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,480,443,426,211,10
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,434,331,436,267,17
Grand Rapids Charter Township  Precinct 7,1043,669,64%,253,145,161,164,13
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,553,434,355,217,20
Grand Rapids Charter Township  Precinct 9,1156,892,77%,322,263,252,162,10
Grandville  Precinct 1,1577,1029,65%,351,236,417,235,8
Grandville  Precinct 2,2014,1232,61%,505,295,321,359,17
Grandville  Precinct 3,2197,1391,63%,614,395,356,290,17
Grandville  Precinct 4,1979,1483,74%,514,508,488,332,4
Grandville  Precinct 5,2147,1489,69%,486,341,546,403,26
Grandville  Precinct 6,1655,1182,71%,447,279,286,350,12
Grattan Township  Precinct 2,1598,1133,70%,405,240,389,292,11
Kentwood  Ward 1  Precinct 1,2072,1009,48%,468,346,292,239,10
Kentwood  Ward 1  Precinct 2,2787,1711,61%,618,646,631,421,16
Kentwood  Ward 1  Precinct 3,1524,971,63%,339,251,347,262,11
Kentwood  Ward 1  Precinct 4,1385,654,47%,269,193,173,193,13
Kentwood  Ward 1  Precinct 5,1192,647,54%,294,195,170,147,10
Kentwood  Ward 1  Precinct 6,2226,1085,48%,367,394,408,262,9
Kentwood  Ward 1  Precinct 7,1944,1074,55%,404,318,347,291,23
Kentwood  Ward 1  Precinct 8,2348,1578,67%,674,493,419,516,15
Kentwood  Ward 1  Precinct 9,2145,1149,53%,504,405,343,240,13
Kentwood  Ward 2  Precinct 10,2150,1401,65%,480,515,454,285,15
Kentwood  Ward 2  Precinct 11,2803,1759,62%,646,494,604,467,28
Kentwood  Ward 2  Precinct 12,1551,929,59%,362,303,236,275,12
Kentwood  Ward 2  Precinct 13,2030,1207,59%,509,390,337,255,5
Kentwood  Ward 2  Precinct 14,787,514,65%,173,192,191,109,3
Kentwood  Ward 2  Precinct 15,2618,1231,47%,439,445,427,346,30
Kentwood  Ward 2  Precinct 16,2612,1825,69%,780,540,448,441,22
Kentwood  Ward 2  Precinct 17,1674,765,45%,320,259,214,155,10
Kentwood  Ward 2  Precinct 18,2017,1003,49%,309,325,349,220,17
Lowell  Precinct 1,1606,965,60%,365,207,387,218,17
Lowell  Precinct 2,1377,738,53%,322,146,211,198,5
Lowell Charter Township  Precinct 1,2438,1661,68%,676,335,486,483,11
Lowell Charter Township  Precinct 2,2269,1350,59%,596,362,400,265,16
Nelson Township  Precinct 1,2306,696,30%,230,163,221,159,14
Nelson Township  Precinct 2,1580,968,61%,286,145,387,293,16
Oakfield Township  Precinct 1,1557,687,44%,315,152,197,189,10
Plainfield Charter Township  Precinct 1,2614,1944,74%,786,502,533,395,17
Plainfield Charter Township  Precinct 2,2249,1437,63%,463,420,530,340,16
Plainfield Charter Township  Precinct 3,2112,1215,57%,481,338,475,291,18
Plainfield Charter Township  Precinct 4,2300,1467,63%,657,410,377,360,21
Plainfield Charter Township  Precinct 5,2123,1393,65%,663,415,464,262,24
Plainfield Charter Township  Precinct 6,3012,2043,67%,728,604,730,424,22
Plainfield Charter Township  Precinct 7,2717,1948,71%,813,539,716,522,19
Plainfield Charter Township  Precinct 8,2819,1909,67%,865,533,535,465,23
Plainfield Charter Township  Precinct 9,2445,1611,65%,735,464,531,298,15
Plainfield Charter Township  Precinct 10,1777,1345,75%,494,376,442,265,15
Plainfield Charter Township  Precinct 11,1706,1286,75%,517,326,471,294,14
Rockford  Precinct 1,1866,1204,64%,530,378,356,205,7
Rockford  Precinct 2,2510,1730,68%,577,506,563,310,23
Solon Township  Precinct 1,1814,1095,60%,444,178,300,373,18
Solon Township  Precinct 2,2765,1606,58%,681,386,444,377,14
Sparta Township  Precinct 1,2898,1650,56%,528,459,628,361,18
Sparta Township  Precinct 2,1516,912,60%,309,154,356,275,7
Sparta Township  Precinct 3,1969,1135,57%,466,240,293,367,14
Spencer Township  Precinct 1,2952,716,24%,328,159,187,177,12
Tyrone Township  Precinct 1,1760,1053,59%,304,281,379,306,22
Tyrone Township  Precinct 2,1401,819,58%,287,158,313,258,9
Vergennes Township  Precinct 1,1870,1365,72%,556,288,334,393,13
Vergennes Township  Precinct 2,1653,1167,70%,534,306,325,222,23
Walker  Ward 1  Precinct 1,2037,997,48%,376,274,380,219,22
Walker  Ward 1  Precinct 2,1733,1176,67%,532,266,364,358,5
Walker  Ward 1  Precinct 3,1996,1316,65%,586,392,404,252,17
Walker  Ward 2  Precinct 4,2243,1567,69%,500,413,547,340,8
Walker  Ward 2  Precinct 5,1904,1341,70%,495,285,508,373,9
Walker  Ward 2  Precinct 6,1880,1193,63%,497,269,334,344,9
Walker  Ward 3  Precinct 7,1966,1352,68%,602,398,408,284,20
Walker  Ward 3  Precinct 8,1759,1268,72%,365,362,414,308,7
Walker  Ward 3  Precinct 9,1981,1274,64%,475,299,492,327,17
Wyoming  Ward 1  Precinct 1,1870,915,48%,378,308,248,270,16
Wyoming  Ward 1  Precinct 2,1311,535,40%,221,210,152,114,5
Wyoming  Ward 1  Precinct 3,2130,940,44%,294,350,303,200,13
Wyoming  Ward 1  Precinct 4,2019,1071,53%,376,253,415,280,13
Wyoming  Ward 1  Precinct 5,2086,1037,49%,452,300,290,253,19
Wyoming  Ward 1  Precinct 6,1502,729,48%,349,253,250,164,10
Wyoming  Ward 1  Precinct 7,1890,1143,60%,441,364,412,230,17
Wyoming  Ward 1  Precinct 8,1230,576,46%,185,130,222,144,3
Wyoming  Ward 1  Precinct 9,2268,1029,45%,439,369,278,313,12
Wyoming  Ward 2  Precinct 10,1478,665,44%,246,291,195,115,6
Wyoming  Ward 2  Precinct 11,1351,568,42%,165,288,144,111,11
Wyoming  Ward 2  Precinct 12,1280,508,39%,183,172,176,122,14
Wyoming  Ward 2  Precinct 13,1666,873,52%,340,276,242,236,11
Wyoming  Ward 2  Precinct 14,1166,666,57%,313,207,185,140,8
Wyoming  Ward 2  Precinct 15,968,530,54%,173,216,194,115,10
Wyoming  Ward 2  Precinct 16,1352,771,57%,272,191,278,185,11
Wyoming  Ward 2  Precinct 17,1923,793,41%,335,254,189,213,28
Wyoming  Ward 2  Precinct 18,1211,667,55%,294,212,192,135,10
Wyoming  Ward 2  Precinct 19,1853,1047,56%,371,375,363,221,18
Wyoming  Ward 2  Precinct 20,1939,1002,51%,335,277,391,259,21
Wyoming  Ward 3  Precinct 21,2306,1266,54%,513,345,351,363,16
Wyoming  Ward 3  Precinct 22,1327,781,58%,332,256,219,170,6
Wyoming  Ward 3  Precinct 23,2223,1060,47%,364,375,377,198,19
Wyoming  Ward 3  Precinct 24,2330,1202,51%,421,335,466,294,9
Wyoming  Ward 3  Precinct 25,1673,1175,70%,462,281,294,310,15
Wyoming  Ward 3  Precinct 26,1254,791,63%,355,278,225,142,11
Wyoming  Ward 3  Precinct 27,1233,767,62%,246,267,250,151,9
Wyoming  Ward 3  Precinct 28,1984,1344,67%,450,322,507,357,23
Wyoming  Ward 3  Precinct 29,1566,1104,70%,464,281,275,289,20
Wyoming  Ward 3  Precinct 30,1989,1405,70%,603,378,346,285,18
