TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Grand Rapids  Ward 2  Precinct 34,2128,1247,58%,286,541,536,41,104,336,15
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,268,575,695,47,102,422,20
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,83,187,275,44,60,168,11
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,348,629,676,114,157,564,13
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,343,568,557,34,138,400,28
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,212,302,204,14,31,118,1
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,457,658,444,29,82,201,22
"


Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,468,1215,1241,139,225,827,34
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,283,515,659,68,110,413,8
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,205,415,478,59,108,411,8
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,199,438,628,35,147,552,6
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,297,534,749,34,73,702,10
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,241,484,611,52,94,443,13
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,299,600,629,45,75,393,4
Grand Rapids  Ward 2  Precinct 48,1482,839,56%,228,354,346,47,92,192,9
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,341,539,384,45,111,217,27
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,532,753,455,28,120,299,15
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,187,350,383,31,79,301,14
Grand Rapids  Ward 3  Precinct 52,915,521,56%,206,294,176,16,41,89,5
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,300,670,970,68,86,683,4
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,171,302,586,45,76,429,12
