TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,JaneMarieBeckering,DouglasB.Shapiro,WriteIn
Tyrone Township  Precinct 1,1760,1063,60%,656,624,17
Tyrone Township  Precinct 2,1401,819,58%,516,519,9
Vergennes Township  Precinct 1,1870,1365,72%,844,768,12
Vergennes Township  Precinct 2,1653,1167,70%,685,695,21
Walker  Ward 1  Precinct 1,2037,997,48%,641,546,20
Walker  Ward 1  Precinct 2,1733,1176,67%,753,738,8
Walker  Ward 1  Precinct 3,1996,1316,65%,884,762,19
Walker  Ward 2  Precinct 4,2243,1567,69%,904,880,5
Walker  Ward 2  Precinct 5,1904,1341,70%,858,761,8
Walker  Ward 2  Precinct 6,1880,1193,63%,731,702,8
Walker  Ward 3  Precinct 7,1966,1352,68%,867,798,19
Walker  Ward 3  Precinct 8,1759,1268,72%,758,748,9
Walker  Ward 3  Precinct 9,1981,1274,64%,862,745,17
Wyoming  Ward 1  Precinct 1,1870,915,48%,608,528,16
Wyoming  Ward 1  Precinct 2,1311,535,40%,356,293,5
Wyoming  Ward 1  Precinct 3,2130,940,44%,581,498,20
Wyoming  Ward 1  Precinct 4,2019,1071,53%,691,584,12
Wyoming  Ward 1  Precinct 5,2086,1037,49%,640,587,13
Wyoming  Ward 1  Precinct 6,1502,729,48%,498,432,13
Wyoming  Ward 1  Precinct 7,1890,1143,60%,723,689,9
Wyoming  Ward 1  Precinct 8,1230,576,46%,371,292,7
Wyoming  Ward 1  Precinct 9,2268,1029,45%,682,596,25
Wyoming  Ward 2  Precinct 10,1478,665,44%,411,365,10
Wyoming  Ward 2  Precinct 11,1351,568,42%,349,302,17
Wyoming  Ward 2  Precinct 12,1280,508,39%,325,265,11
Wyoming  Ward 2  Precinct 13,1666,873,52%,536,490,13
Wyoming  Ward 2  Precinct 14,1166,666,57%,445,390,9
Wyoming  Ward 2  Precinct 15,968,530,54%,341,308,19
Wyoming  Ward 2  Precinct 16,1352,771,57%,485,419,10
Wyoming  Ward 2  Precinct 17,1923,793,41%,494,422,27
Wyoming  Ward 2  Precinct 18,1211,667,55%,446,369,9
Wyoming  Ward 2  Precinct 19,1853,1047,56%,645,595,30
Wyoming  Ward 2  Precinct 20,1939,1002,51%,634,578,31
Wyoming  Ward 3  Precinct 21,2306,1266,54%,767,750,28
Wyoming  Ward 3  Precinct 22,1327,781,58%,497,445,13
Wyoming  Ward 3  Precinct 23,2223,1060,47%,644,597,32
Wyoming  Ward 3  Precinct 24,2330,1202,51%,777,674,14
Wyoming  Ward 3  Precinct 25,1673,1175,70%,710,673,19
Wyoming  Ward 3  Precinct 26,1254,791,63%,507,463,17
Wyoming  Ward 3  Precinct 27,1233,767,62%,450,433,13
Wyoming  Ward 3  Precinct 28,1984,1344,67%,864,790,25
Wyoming  Ward 3  Precinct 29,1566,1104,70%,682,675,23
Wyoming  Ward 3  Precinct 30,1989,1405,70%,888,811,21
