TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,CurtBenson,AlidaBryant,ChristinaElmore,ScottA.Noto,WriteIn
Spencer Township  Precinct 1,2952,1803,61%,741,420,454,664,26
Tyrone Township  Precinct 1,1760,1063,60%,501,262,269,316,21
Tyrone Township  Precinct 2,1401,819,58%,307,214,279,277,12
Vergennes Township  Precinct 1,1870,1365,72%,523,272,436,499,14
Vergennes Township  Precinct 2,1653,1167,70%,465,290,316,422,27
Walker  Ward 1  Precinct 1,2037,997,48%,310,304,409,290,20
Walker  Ward 1  Precinct 2,1733,1176,67%,508,306,365,465,6
Walker  Ward 1  Precinct 3,1996,1316,65%,545,389,458,414,14
Walker  Ward 2  Precinct 4,2243,1567,69%,523,398,449,579,8
Walker  Ward 2  Precinct 5,1904,1341,70%,556,257,420,580,10
Walker  Ward 2  Precinct 6,1880,1193,63%,478,291,336,464,5
Walker  Ward 3  Precinct 7,1966,1352,68%,586,370,398,460,22
Walker  Ward 3  Precinct 8,1759,1268,72%,479,314,347,468,7
Walker  Ward 3  Precinct 9,1981,1274,64%,448,311,473,429,23
Wyoming  Ward 1  Precinct 1,1870,915,48%,301,311,328,280,11
Wyoming  Ward 1  Precinct 2,1311,535,40%,198,180,200,132,6
Wyoming  Ward 1  Precinct 3,2130,940,44%,263,292,364,252,18
Wyoming  Ward 1  Precinct 4,2019,1071,53%,333,255,410,392,13
Wyoming  Ward 1  Precinct 5,2086,1037,49%,354,305,322,369,20
Wyoming  Ward 1  Precinct 6,1502,729,48%,283,277,285,180,16
Wyoming  Ward 1  Precinct 7,1890,1143,60%,427,319,372,399,17
Wyoming  Ward 1  Precinct 8,1230,576,46%,161,141,236,166,4
Wyoming  Ward 1  Precinct 9,2268,1029,45%,358,375,364,338,15
Wyoming  Ward 2  Precinct 10,1478,665,44%,220,244,244,153,5
Wyoming  Ward 2  Precinct 11,1351,568,42%,148,195,227,155,13
Wyoming  Ward 2  Precinct 12,1280,508,39%,140,153,235,135,11
Wyoming  Ward 2  Precinct 13,1666,873,52%,286,277,289,274,14
Wyoming  Ward 2  Precinct 14,1166,666,57%,270,222,213,214,9
Wyoming  Ward 2  Precinct 15,968,530,54%,153,186,211,159,14
Wyoming  Ward 2  Precinct 16,1352,771,57%,247,181,256,281,10
Wyoming  Ward 2  Precinct 17,1923,793,41%,266,274,265,216,31
Wyoming  Ward 2  Precinct 18,1211,667,55%,268,201,210,187,14
Wyoming  Ward 2  Precinct 19,1853,1047,56%,335,346,390,309,28
Wyoming  Ward 2  Precinct 20,1939,1002,51%,309,246,401,365,25
Wyoming  Ward 3  Precinct 21,2306,1266,54%,446,353,358,465,19
Wyoming  Ward 3  Precinct 22,1327,781,58%,311,241,235,244,9
Wyoming  Ward 3  Precinct 23,2223,1060,47%,266,353,423,280,28
Wyoming  Ward 3  Precinct 24,2330,1202,51%,400,297,455,430,15
Wyoming  Ward 3  Precinct 25,1673,1175,70%,483,265,302,471,15
Wyoming  Ward 3  Precinct 26,1254,791,63%,308,231,250,286,17
Wyoming  Ward 3  Precinct 27,1233,767,62%,227,225,258,273,10
Wyoming  Ward 3  Precinct 28,1984,1344,67%,495,289,477,514,19
Wyoming  Ward 3  Precinct 29,1566,1104,70%,420,277,316,425,22
Wyoming  Ward 3  Precinct 30,1989,1405,70%,618,340,379,457,22
