TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Tom Leonard (REP),Dana Nessel (DEM),Lisa Lane Gioia (LIB),Gerald T. Van Sickle (UST),Chris Graveline (NPA),Write In
Wyoming Ward 1 Precinct 7,1890,1143,60%,609,436,37,11,22,1
Wyoming Ward 1 Precinct 8,1230,576,46%,258,255,26,8,6,1
Wyoming Ward 1 Precinct 9,2268,1029,45%,378,515,45,16,32,2
Wyoming Ward 2 Precinct 10,1478,665,44%,226,376,18,13,11,0
Wyoming Ward 2 Precinct 11,1351,568,42%,157,341,18,10,13,3
Wyoming Ward 2 Precinct 12,1280,508,39%,173,277,19,8,11,2
Wyoming Ward 2 Precinct 13,1666,873,52%,376,417,22,11,22,0
Wyoming Ward 2 Precinct 14,1166,666,57%,338,254,24,9,18,0
Wyoming Ward 2 Precinct 15,968,530,54%,219,247,24,2,16,1
Wyoming Ward 2 Precinct 16,1352,771,57%,360,328,32,4,12,5
Wyoming Ward 2 Precinct 17,1923,793,41%,255,443,34,7,17,2
Wyoming Ward 2 Precinct 18,1211,667,55%,289,311,18,5,15,0
Wyoming Ward 2 Precinct 19,1853,1047,56%,433,515,29,10,19,5
Wyoming Ward 2 Precinct 20,1939,1002,51%,415,464,42,10,33,3
Wyoming Ward 3 Precinct 21,2306,1266,54%,618,517,34,15,21,4
Wyoming Ward 3 Precinct 22,1327,781,58%,370,336,14,10,22,1
Wyoming Ward 3 Precinct 23,2223,1060,47%,421,541,30,12,23,3
Wyoming Ward 3 Precinct 24,2330,1202,51%,566,516,43,14,19,0
Wyoming Ward 3 Precinct 25,1673,1175,70%,704,394,20,4,10,1
Wyoming Ward 3 Precinct 26,1254,791,63%,393,334,24,8,11,2
Wyoming Ward 3 Precinct 27,1233,767,62%,412,298,14,4,15,0
Wyoming Ward 3 Precinct 28,1984,1344,67%,786,450,28,13,22,4
Wyoming Ward 3 Precinct 29,1566,1104,70%,639,391,26,8,7,2
Wyoming Ward 3 Precinct 30,1989,1405,70%,882,430,20,3,23,1
