TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Grand Rapids Ward 1 Precinct 17,2352,1170,49%,320,276,563,541,42,37,21,6,33,51,32,11
Grand Rapids Ward 1 Precinct 18,1152,438,38%,35,30,297,283,11,8,9,5,13,17,10,6
Grand Rapids Ward 1 Precinct 19,2134,990,46%,228,210,506,502,62,35,17,11,37,42,34,7
Grand Rapids Ward 1 Precinct 20,2160,1614,74%,704,633,619,583,41,28,22,13,26,35,27,11
Grand Rapids Ward 1 Precinct 21,1827,1363,74%,637,590,456,445,56,34,17,8,18,30,20,2
Grand Rapids Ward 1 Precinct 22,747,238,31%,24,22,143,143,8,6,4,2,6,13,11,0
Grand Rapids Ward 1 Precinct 23,1820,1338,73%,594,547,500,477,43,27,19,6,24,32,16,2
Grand Rapids Ward 1 Precinct 24,1782,479,26%,29,25,302,307,11,6,15,4,9,22,15,4
Grand Rapids Ward 2 Precinct 25,1324,797,60%,112,111,505,506,29,22,11,3,30,26,17,2
Grand Rapids Ward 2 Precinct 26,1710,1009,59%,276,251,526,503,33,25,16,7,22,33,18,5
Grand Rapids Ward 2 Precinct 27,1297,757,58%,167,146,388,393,39,32,16,6,21,25,22,4
Grand Rapids Ward 2 Precinct 28,2027,1159,57%,266,244,647,628,53,50,24,11,26,40,23,3
Grand Rapids Ward 2 Precinct 29,1926,806,41%,143,134,446,452,29,19,18,4,39,36,14,7
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,306,272,736,718,38,25,9,7,31,19,11,4
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,248,236,651,620,63,43,17,10,33,54,34,2
Grand Rapids Ward 2 Precinct 32,1428,746,52%,152,131,431,416,39,21,10,4,20,25,10,1
Grand Rapids Ward 2 Precinct 33,1072,742,69%,141,128,465,468,23,15,5,1,25,15,5,2
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,331,283,646,666,32,29,16,10,20,36,28,5
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,477,413,671,640,47,31,15,11,23,25,16,5
Grand Rapids Ward 2 Precinct 36,1025,560,54%,166,148,271,253,18,13,12,11,12,28,12,5
Grand Rapids Ward 2 Precinct 37,2460,1635,66%,540,488,792,736,56,43,13,6,26,40,31,13
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,308,280,807,795,64,50,15,7,32,43,29,5
Grand Rapids Ward 2 Precinct 39,1064,600,56%,74,58,417,399,16,11,7,1,18,12,10,3
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,175,156,844,809,36,22,7,3,37,26,17,7
"



                        Grand Rapids Ward 2 Precinct 41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,878,798,1265,1239,101,78,26,24,52,78,56,22
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,407,351,674,651,49,33,17,6,45,40,27,0
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,384,317,520,499,47,31,20,9,26,22,19,4
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,467,415,568,532,42,30,13,8,19,34,27,3
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,627,584,625,601,42,27,19,4,16,34,13,4
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,422,398,581,558,37,30,17,9,15,31,27,2
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,434,400,617,602,42,15,8,6,14,31,20,1
Grand Rapids Ward 2 Precinct 48,1482,840,56%,133,110,522,530,41,26,11,7,30,28,18,0
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,163,135,732,703,38,29,7,4,29,38,20,4
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,176,159,1004,974,51,27,11,7,31,34,21,3
Grand Rapids Ward 3 Precinct 51,1724,885,51%,223,202,467,449,31,18,25,5,18,30,17,5
Grand Rapids Ward 3 Precinct 52,915,521,56%,49,43,343,358,21,10,11,4,16,20,10,0
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,775,736,685,635,52,31,14,7,21,29,19,1
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,426,401,435,417,26,14,10,2,13,18,12,2
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,525,466,704,671,46,22,16,4,23,20,14,7
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,470,444,602,584,38,29,14,6,15,24,19,1
Grand Rapids Ward 3 Precinct 57,1234,805,65%,227,213,421,430,15,16,12,3,7,21,13,0
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,431,387,524,519,27,10,10,5,14,26,15,3
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,447,425,900,872,47,34,18,7,22,35,17,0
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,157,133,912,923,35,23,12,1,44,46,26,4
Grand Rapids Ward 3 Precinct 61,899,571,63%,97,95,352,338,17,11,1,2,23,9,8,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,118,101,547,556,20,19,12,6,15,27,25,2
Grand Rapids Ward 3 Precinct 63,1860,891,47%,89,75,575,608,16,14,18,9,15,34,26,3
Grand Rapids Ward 3 Precinct 64,1984,885,44%,178,155,507,513,26,18,24,8,17,31,15,4
Grand Rapids Ward 3 Precinct 65,2000,965,48%,233,218,538,544,31,12,17,5,13,27,12,1
Grand Rapids Ward 3 Precinct 66,2363,819,34%,38,31,554,578,14,13,14,8,15,29,28,7
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,54,51,732,775,18,10,13,2,12,27,16,2
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,212,185,739,734,21,19,5,4,26,22,14,3
Grand Rapids Ward 3 Precinct 69,1359,983,72%,421,404,404,401,21,9,7,3,12,7,6,2
Grand Rapids Ward 3 Precinct 70,1791,660,36%,24,14,454,497,8,6,9,3,9,34,15,6
Grand Rapids Ward 3 Precinct 71,1695,957,56%,146,131,602,627,27,10,16,3,19,16,18,7
Grand Rapids Ward 3 Precinct 72,871,603,69%,141,133,348,336,15,8,4,2,14,14,7,0
Grand Rapids Ward 3 Precinct 73,1165,766,65%,230,194,412,381,26,15,9,3,11,15,6,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,184,154,457,439,38,23,11,1,19,23,19,3
Grand Rapids Ward 3 Precinct 75,1209,602,49%,72,60,384,366,24,15,13,6,18,26,16,2
Grand Rapids Ward 3 Precinct 76,1577,653,41%,32,27,456,465,12,7,3,3,20,18,16,1
