TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Schuette / Lisa Posthumus Lyons (REP),"Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
",Bill Gelineau / Angelique Chaiser Thomas (LIB),Todd Schleiger / Earl P. Lackie (UST),Jennifer V. Kurland / Charin H. Davenport (GRN),Keith Butkovich / Raymond Warner (NLP),Write In
Grand Rapids Ward 2 Precinct 30,1694,1248,73%,325,870,25,5,8,4,1
Grand Rapids Ward 2 Precinct 31,2277,1205,52%,321,794,41,8,17,7,3
Grand Rapids Ward 2 Precinct 32,1428,746,52%,173,535,17,4,9,2,0
Grand Rapids Ward 2 Precinct 33,1072,742,69%,151,562,17,0,3,0,2
Grand Rapids Ward 2 Precinct 34,2128,1248,58%,364,827,15,7,10,4,0
Grand Rapids Ward 2 Precinct 35,1960,1356,69%,523,775,22,6,13,3,1
Grand Rapids Ward 2 Precinct 36,1025,560,54%,189,331,15,4,6,2,2
Grand Rapids Ward 2 Precinct 37,2460,1636,66%,597,969,29,5,12,4,2
Grand Rapids Ward 2 Precinct 38,2774,1449,52%,344,1006,44,5,23,5,3
Grand Rapids Ward 2 Precinct 39,1064,600,56%,70,511,9,0,3,1,0
Grand Rapids Ward 2 Precinct 40,1864,1218,65%,173,996,21,1,13,2,0
"


                        Grand Rapids Ward 2 Precinct 41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,974,1623,72,14,22,14,9
Grand Rapids Ward 2 Precinct 42,1918,1359,70%,435,869,21,6,10,7,1
Grand Rapids Ward 2 Precinct 43,1741,1142,65%,432,659,15,2,15,0,1
Grand Rapids Ward 2 Precinct 44,1887,1259,66%,521,688,16,6,5,2,2
Grand Rapids Ward 2 Precinct 45,2124,1495,70%,678,764,24,2,8,4,1
Grand Rapids Ward 2 Precinct 46,2268,1248,55%,456,732,27,10,6,1,1
Grand Rapids Ward 2 Precinct 47,1676,1275,76%,456,776,19,1,5,1,2
Grand Rapids Ward 2 Precinct 48,1482,840,56%,157,644,18,5,7,2,0
Grand Rapids Ward 2 Precinct 49,2046,1136,55%,181,902,21,4,12,2,0
Grand Rapids Ward 2 Precinct 50,2306,1432,62%,182,1184,36,4,13,1,1
Grand Rapids Ward 3 Precinct 51,1724,885,51%,246,594,17,8,5,3,2
Grand Rapids Ward 3 Precinct 52,915,521,56%,49,450,6,4,4,3,0
Grand Rapids Ward 3 Precinct 53,2863,1739,60%,832,849,30,3,7,1,1
Grand Rapids Ward 3 Precinct 54,1502,1022,68%,447,545,12,4,4,0,0
Grand Rapids Ward 3 Precinct 55,2164,1449,66%,535,872,14,2,9,0,2
Grand Rapids Ward 3 Precinct 56,2007,1289,64%,494,743,18,6,10,1,0
Grand Rapids Ward 3 Precinct 57,1234,805,65%,252,528,6,3,5,0,0
Grand Rapids Ward 3 Precinct 58,1771,1130,63%,438,650,15,4,10,2,1
Grand Rapids Ward 3 Precinct 59,2393,1610,67%,482,1079,18,3,7,2,0
Grand Rapids Ward 3 Precinct 60,2375,1329,55%,135,1150,12,2,16,2,2
Grand Rapids Ward 3 Precinct 61,899,571,63%,103,438,9,5,2,0,0
Grand Rapids Ward 3 Precinct 62,1823,851,46%,127,680,16,2,8,5,1
Grand Rapids Ward 3 Precinct 63,1860,891,47%,97,753,10,2,10,2,2
