TOTALS: 189 of 189 Precincts ,Registered Voters,Ballots Cast,Turnout,Justin Amash (REP),Cathy Albro (DEM),Ted Gerrard (UST),Write In
Oakfield Township Precinct 3 ,1321,783,59%,460,259,25,3
Plainfield Charter Township Precinct 1,2614,1944,74%,1169,674,44,0
Plainfield Charter Township Precinct 2,2249,1437,63%,835,519,30,6
Plainfield Charter Township Precinct 3,2112,1215,57%,592,543,42,4
Plainfield Charter Township Precinct 4,2300,1467,63%,780,607,29,1
Plainfield Charter Township Precinct 5,2123,1393,65%,724,596,38,1
Plainfield Charter Township Precinct 6,3012,2043,67%,1241,697,51,0
Plainfield Charter Township Precinct 7,2717,1948,71%,1167,694,42,3
Plainfield Charter Township Precinct 8,2819,1909,67%,1022,795,37,1
Plainfield Charter Township Precinct 9,2445,1611,65%,950,593,34,0
Plainfield Charter Township Precinct 10,1777,1345,75%,798,476,29,0
Plainfield Charter Township Precinct 11,1706,1286,75%,778,453,26,0
Rockford Precinct 1,1866,1204,64%,623,511,27,1
Rockford Precinct 2,2510,1730,68%,926,709,37,3
Solon Township Precinct 1,1814,1095,60%,683,340,34,1
Solon Township Precinct 2,2765,1630,58%,1085,437,66,2
Sparta Township Precinct 1,2898,1650,56%,903,596,77,5
Sparta Township Precinct 2,1516,912,60%,608,247,33,0
Sparta Township Precinct 3,1969,1135,57%,738,321,37,2
Spencer Township Precinct 1,2952,1803,61%,1155,509,59,6
Tyrone Township Precinct 1,1760,1063,60%,697,280,48,3
Tyrone Township Precinct 2,1401,819,58%,542,228,19,1
Vergennes Township Precinct 1,1870,1365,72%,891,399,30,1
Vergennes Township Precinct 2,1653,1167,70%,748,357,19,3
