TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,PatriciaD.Gardner,G.PatrickHillary,WriteIn
Wyoming  Ward 2  Precinct 18,1211,667,55%,443,360,12
Wyoming  Ward 2  Precinct 19,1853,1047,56%,662,566,32
Wyoming  Ward 2  Precinct 20,1939,1002,51%,693,535,29
Wyoming  Ward 3  Precinct 21,2306,1266,54%,774,708,26
Wyoming  Ward 3  Precinct 22,1327,781,58%,500,436,10
Wyoming  Ward 3  Precinct 23,2223,1060,47%,655,558,34
Wyoming  Ward 3  Precinct 24,2330,1202,51%,778,654,18
Wyoming  Ward 3  Precinct 25,1673,1175,70%,701,667,21
Wyoming  Ward 3  Precinct 26,1254,791,63%,491,443,15
Wyoming  Ward 3  Precinct 27,1233,767,62%,457,420,8
Wyoming  Ward 3  Precinct 28,1984,1344,67%,866,777,23
Wyoming  Ward 3  Precinct 29,1566,1104,70%,664,674,21
Wyoming  Ward 3  Precinct 30,1989,1405,70%,868,805,24
